15592235109559831;166032;46
16368080165460501;119411;23
11295963401;101076;27
1000011386853141;97668;50
101527822804705681;69469;32
102029140602711501;67936;18
8458159621294731;59708;9
1000023682605211;58033;41
6781668755752411;52484;19
1000053704920511;51977;19
7318272669002101;50412;29
1000001224040471;48735;17
5625782301;44973;23
3765064525011691;41771;38
8592837240876451;41166;20
11760551551;39724;22
8766483090144651;39625;18
102043499099400051;39103;20
1000008393554081;38975;22
14548814941;38072;18
102042607558157901;38041;20
6908220043421201;37212;72
1000036202174301;32808;45
101523896151869511;29537;13
1000081352342581;28694;56
13851012384474141;28188;23
1000022151764271;26134;21
102051842173088401;25730;11
1000002529686401;25614;30
6511609781;25147;10
1000001205653341;24697;15
1000002982746591;24169;33
7380478129098371;24076;22
7166186251;23312;26
1000012434487121;23152;15
5535460071;22696;11
101523589134297951;21608;17
1000008747765441;21186;28
1000084486077231;20860;49
1000033034846371;20678;31
7345244601;20056;29
1000022917442511;19990;15
102048600354096821;19553;10
102033094271195511;19544;16
9437409156555211;19245;10
1000001004304891;19142;7
1000005528151671;19037;14
1000014307772971;19036;11
14780134758127111;18529;4
102052281372426711;18529;4
1000007959474541;17530;14
1000003066774951;17497;5
14883304681025521;17486;22
101519379932277571;16464;8
8091963424554441;15945;17
11962607161;15441;3
15704912241;15440;4
8799910353458421;15438;6
1000084216130751;15435;11
101525409740525231;15435;9
5905398111;15328;17
6631950551;15212;14
1000004763849951;15125;16
49462925515511;15119;20
14517351211;14909;25
10028797271;14708;21
1000032503855421;14703;27
102039623404337081;14407;7
1000001885661241;14397;23
1000004704700801;13889;14
7066023861;13491;9
1000001217375211;13374;7
102020515174881171;13367;22
16794397031;12929;43
3069879727847741;12859;15
102053924853225771;12658;7
1000002092510851;12547;19
7651296801910991;12371;12
5001455601228981;11883;12
7337510700139241;11834;8
8605520072970081;11621;16
14285400391;11319;6
1000053340339161;11214;10
1000002782774181;11108;14
7468781120261291;10911;17
11299114951;10905;10
12248702641;10493;11
1000010769634121;10472;11
5825346085420241;10388;16
8442629989285731;10293;3
14131906591;9895;5
15665368061;9787;6
9856389781183251;9344;20
8733454926987331;9261;7
14200712091;9156;9
6146548386167091;9087;45
1000078727071181;9048;17
10675788481;8618;8
102020329207675521;8439;4
8000050141;8380;8
102052513172313461;8232;4
1000001965466031;7994;19
7409351592957981;7806;22
13824378821;7738;14
8227026744196261;7717;6
102033216205014331;7713;9
3912038843646191;7644;6
5450505656116081;7497;22
102029648804588171;7406;10
14086214071;7203;6
102050675127178041;7203;4
10100978991;7203;6
9085684591610471;7202;7
9288020071477301;7198;11
7037709529769641;7196;13
102049323076179801;6893;7
101521860746983811;6891;10
102029703468334411;6788;9
6767295261;6753;15
101528474996419261;6662;14
1000006143721531;6476;13
1000029283142261;6174;4
15580332871;6174;3
1000010394018291;6173;5
13917003731;6173;6
102052776813650041;6171;9
7199143947590501;5964;11
1000004629566311;5770;6
102019891418484671;5659;6
5119946721;5452;19
6670396934139401;5450;9
1000066756665531;5147;1
8612304239092731;5145;4
1000004487204081;5145;3
1000084633972221;5144;4
1000084689469851;5144;4
9173721016080161;4939;5
1000007562579281;4630;4
1000003570983151;4630;4
1000008376648321;4630;4
1000000263582651;4630;4
7259556108145241;4496;13
5261282908242521;4318;9
8731945526932131;4239;7
5445525081;4188;6
15403135871;4116;3
4083692359768051;4116;3
1000035484691781;4115;5
14744783741;4114;3
11803266791;4011;5
13696816731;3927;5
8364605963741501;3800;11
5603487491;3696;12
101529310346575771;3601;4
1000055144390891;3601;5
1000021137545131;3599;6
14876818048450941;3566;7
1000049181126981;3497;6
